1 Герцена ул.
1 Пионерская ул.
1 Южная ул.
10 Пятилетки ул.
139 Стрелковой Дивизии ул.
15 Лет Комсомола ул.
2 Герцена ул.
2 Южная ул.
324 Стрелковой Дивизии ул.
4 Южная ул.
40 Лет Октября ул.
5 Южная ул.
50 Лет Октября ул.
500-летия Чебоксар
7 Южная ул.
8 Марта ул.
8 Южная ул.
9 Пятилетки пр.
9 Южная ул.
А.Никитина ул.
Абашева ул.
Абашевская ул.
Автозаправочный пр.
Автономная ул.
Авторемонтный пр.
Айзмана ул.
Академика Крылова ул.
Академика Павлова ул.
Алексеева ул.
Альгешевская ул.
Анаткас ул.
Анисимова ул.
Асакасинская ул.
Афанасьева ул.
Ахазова ул.
Ахлаткина ул.
Ашмарина ул.
Б.Хмельницкого ул.
Бабушкина пер.
Бажова ул.
Базарная ул.
Базовый пр.
Байдукова ул.
Байдула ул.
Бакунина ул.
Баумана ул.
Башмачникова ул.
Беззубова ул.
Безымянный пер.
Березовая ул.
Биржевая ул.
Бичурина ул.
Больничный пер.
Бондарева ул.
Бородина ул.
Бродского пер.
Бродского ул.
Буртаса ул.
В.Терешковой ул.
Василькова ул.
Васильковая ул.
Васнецова ул.
Ватутина ул.
Верещагина ул.
Верхняя ул.
Винокрова ул.
Винокурова ул.
Вишневая ул.
Владимирская ул.
Водопроводная ул.
Воинов-интернационалистов ул.
Волжская ул.
Волжские Зори ул.
Волкова ул.
Володарского ул.
Восточная ул.
Вурнарское ш.
Гагарина ул.
Гайдара ул.
Гаражный пр.
Гастелло ул.
Герцена ул.
Гидростроителей б-р.
Гидростроителей ул.
Гладкова ул.
Глинки ул.
Гоголя ул.
Гончарова ул.
Гражданская ул.
Грасиса ул.
Гремячевский пр.
Грибоедова ул.
Гузовского ул.
Дачный пер.
Дегтярева ул.
Дежнева ул.
Декабристов ул.
Декоративная ул.
Денисова б-р.
Детский пер.
Дзержинского ул.
Димитрова ул.
Добролюбова ул.
Докучаева ул.
Дорожный пр.
Достоевского ул.
Дровяная ул.
Дунаевского ул.
Ельниковская ул.
Ельниковский пр.
Есенина ул.
Ж.Крутовой ул.
Ж.Трилинского ул.
Жуковского ул.
З.Яковлевой ул.
Заводская ул.
Заводской пер.
Заволжская ул.
Зайцева ул.
Заовражная ул.
Заречная ул.
Зеленая ул.
Зеленый б-р.
Зелинского ул.
Земляничная ул.
И.Франко ул.
И.Яковлева пр.
Игнатьева ул.
Ильбекова ул.
Инженера Куприянова ул.
Инкубаторная ул.
Интернациональная ул.
Ишлейский пр.
Ишлейское ш.
К.Ефремова б-р.
К.Иванова ул.
К.Либкнехта ул.
К.Маркса ул.
К.Симонова ул.
Кабельный пр.
Кадыкова ул.
Казанская ул.
Калинина ул.
Канашское ш.
Керамзитовый пр.
Кирова ул.
Кленовая ул.
Клубная ул.
Кокеля ул.
Коллективная ул.
Кольцевая ул.
Кольцова ул.
Комбинатская ул.
Комбинатский пер.
Коммунальная Слобода 2 ул.
Коммунистическая ул.
Композиторов Воробьевых ул.
Комсомольская ул.
Кооперативная ул.
Короленко ул.
Космическая ул.
Котовского ул.
Кочеткова ул.
Кочетова ул.
Кочубея ул.
Кошкинский пер.
Красина ул.
Красноармейская ул.
Красногорская ул.
Красный Флот ул.
Кременского ул.
Крепкова ул.
Крупская ул.
Кувшинский пер.
Кугесьская ул.
Кузнецова ул.
Куйбышева ул.
Кукшумская ул.
Кулибина ул.
Кутузова ул.
Л.Спасова ул.
Л.Чайкиной ул.
Лапсарский пр.
Лебедева ул.
Левобережная ул.
Ленина пр.
Ленинградская ул.
Ленинского Комсомола ул.
Лермонтова ул.
Лесная ул.
Лесной пер.
Лесхозная ул.
Ломоносова ул.
Лунная ул.
М.Горького пр.
М.Горького ул.
М.Залка ул.
М.Сеспеля ул.
М.Сироткина ул.
М.Спиридонова ул.
Магницкого ул.
Макаренко ул.
Максимова ул.
Марата ул.
Марпосадское ш.
Маршака ул.
Матросова пер.
Машиностроителей пр.
Мельничный пер.
Менжинского ул.
Мира пр.
Мира ул.
Миттова б-р.
Михайловского ул.
Мичмана Павлова ул.
Молодежная ул.
Молодежный пер.
Молодогвардейская ул.
Монтажный пр.
Мопра ул.
Морозова ул.
Московский пр.
Мукшумская ул.
Мусорского ул.
Мухина ул.
Мухиной ул.
Мясокомбинатский пр.
Н.Осипова ул.
Н.Охотникова ул.
Набережная Сугутки ул.
Набережная ул.
Нагорная ул.
Надежды ул.
Нахимова ул.
Некрасова ул.
Нефтебаза ул.
Нефтебазовская ул.
Нижегородская ул.
Нижняя ул.
Низами ул.
Николаева ул.
Новая ул.
Ново-илларионовская ул.
Новочебоксарское ш.
О.Беспалова ул.
О.Кошевого ул.
Обиковская ул.
Огнеборцев ул.
Озерная ул.
Ольдеевская ул.
Ольховая ул.
Ореховая ул.
Осипова ул.
Островская ул.
Островского ул.
П.Крепкова ул.
П.Лумумбы ул.
П.Морозова ул.
П.Ухсая ул.
Парижская Коммуна ул.
Парижской Коммуны ул.
Парковая ул.
Пархоменко ул.
Первомайская ул.
Перова ул.
Песчанная ул.
Петрова ул.
Пионерская ул.
Пирогова ул.
Плеханова ул.
Победы пл.
Поворотно-нагорная ул.
Полевая ул.
Полевой пер.
Полковника Валькевича ул.
Полярная ул.
Попова ул.
Поселковая ул.
Пржевальского ул.
Прибрежная ул.
Привокзальная ул.
Пристанционная ул.
Пролетарская ул.
Промышленная ул.
Просечная ул.
Профсоюзная ул.
Прямая ул.
Пугачева ул.
Пучкова ул.
Пушкинский пер.
Р.Зорге ул.
Р.Люксембург ул.
Равнинная ул.
Радищева ул.
Разина ул.
Репина ул.
Республики пл.
Речная ул.
Речников пл.
Родионова ул.
Родниковая ул.
Розовая ул.
Ромашковая ул.
Руставели ул.
Рылеева ул.
Рябиновская ул.
С.Лазо ул.
С.Михайлова ул.
С.Шавлы ул.
С.Щедрина ул.
Садовая ул.
Санаторий Чувашия ул.
Сапожникова ул.
Сверчкова ул.
Северная ул.
Северный пр.
Седова ул.
Сельская ул.
Семашко ул.
Семенова ул.
Серафимовича ул.
Сеспеля ул.
Сеченова ул.
Силикатная ул.
Сиреневая ул.
Скворцова пл.
Скворцова ул.
Складской пр.
Смирнова ул.
Советская ул.
Совхозная пл.
Совхозная ул.
Совхозный пер.
Солнечная ул.
Соляново ул.
Сосновская ул.
Сосновский пер.
Социалистическая ул.
Союзная ул.
Спартака ул.
Спасова ул.
Сплавная ул.
Строителей ул.
Суворова ул.
Сурикова пер.
Сурикова ул.
Сюктерка ул.
Т.Кривова ул.
Т.Кривого ул.
Т.Тимки ул.
Талвира ул.
Тальниковая ул.
Текстильщиков ул.
Тельмана ул.
Тенистая ул.
Тихая ул.
Токмакова ул.
Токсина ул.
Толстого ул.
Тополиная ул.
Торфяная ул.
Травяная ул.
Тракторная ул.
Тракторостроителей пр.
Трудовая ул.
Тургенева ул.
Узорная ул.
Университетская ул.
Урицкого ул.
Урукова ул.
Усадская ул.
Учительский пер.
Ушакова ул.
Ушинского ул.
Фадеева ул.
Федотова ул.
Фруктовая ул.
Фрунзе ул.
Фурманова ул.
Харьковская ул.
Хведи ул.
Хвойная ул.
Хевешская ул.
Химиков пер.
Хозандайкино ул.
Хозяйственный пр.
Хузангая ул.
Цветочная ул.
Центральная ул.
Цивильская ул.
Циолковского ул.
Цыганкасинская ул.
Чандрово ул.
Чапаева б-р.
Чапаева ул.
Чебоксарская ул.
Челюскина ул.
Чернышевского ул.
Чехова ул.
Чистая ул.
Чуковского ул.
Шахчуринская ул.
Шевченко пер.
Шевченко ул.
Шелеби ул.
Школьная ул.
Школьный пер.
Школьный пр.
Шмидта ул.
Шоршелская ул.
Шоссейная ул.
Шубоссинни ул.
Шумилова ул.
Щорса ул.
Эгерский б-р.
Электрозаводская ул.
Эльгера ул.
Эльменя ул.
Энгельса ул.
Энергетиков пр.
Энергетиков ул.
Энтузиастов ул.
Ю.Фучика ул.
Юбилейная ул.
Юго-западный б-р.
Южная ул.
Юнатская ул.
Юности б-р.
Юности ул.
Юрьева ул.
Я.Купалы ул.
Яблоневая ул.
Яблочкова ул.
Ягодный пер.
Ядринское ш.
Якимовская ул.
Яноушека ул.
Ярмарочная ул.
Ярославская ул.
